index,speaker,file,rec_date,ipu,prompt,word,time,sentence_ons,sentence_off,word_ons,word_off,v1_ons,c2_ons,v2_ons,c1_rel,c2_rel,voicing_start,voicing_end,voicing_duration,voiced_points,GONS,max,NOFF,NONS,peak1,peak2,c1_duration,c1_clos_duration,c1_vot,c1_rvoff,v1_duration,c2_duration,c2_clos_duration,v2_duration,v_v,word_duration,sentence_duration,language,gender,glottocode,item,ipa,c1,c1_phonation,vowel,anteropost,height,c2,c2_phonation,c2_place,speech_rate,speech_rate_c,f1,f2,f3,f0
1,it01,it01-001,29/11/2016 15:10:47,ipu_1,Dico pugu lentamente,pugu,0.990023,0.990023,2.624943,1.350023,1.760023,1.4898018211570336,1.58503902278578,1.670023,1.4435333970266342,1.6433991497391578,1.488411254415258,2.001017467620606,512.6062132053479,5,1.488,1.6255,NA,NA,NA,NA,139.77882115703366,93.51039702663422,44.87785738862371,141.50562575914583,95.23720162874638,84.98397721422002,58.36012695337778,89.99999999999986,180.2211788429664,409.99999999999994,1.6349200000000002,Italian,m,ital1282,20,pugu,p,voiceless,u,back,high,g,voiced,velar,4.893205783769236,-0.5593753130373056,312.8625613205751,737.0157944571795,2306.769983360407,137.17306325650975
2,it01,it01-002,29/11/2016 15:10:52,ipu_2,Dico pada lentamente,pada,3.624943,0.5018590997732426,2.0968710997732423,0.8418590997732425,1.2018590997732428,0.9377097336030163,1.076678176646415,1.151859099773243,0.9174981818313608,1.1445615913782063,0.9168302344373412,1.4810334571831456,564.2032227458045,5,0.981,1.1115,1.116,1.102,1.0485,1.1485,95.85063382977398,75.6390820581183,-0.6679473940196523,159.1799948150543,138.96844304339862,75.18092312682789,67.88341473179128,49.99999999999982,214.1493661702265,360.00000000000034,1.5950119999999997,Italian,m,ital1282,2,pada,p,voiceless,a,central,low,d,voiced,coronal,5.015636245996896,-0.4369448508096454,780.6591699293373,1231.4508606338895,2144.3473372041603,118.84660495144948
3,it01,it01-003,29/11/2016 15:10:57,ipu_3,Dico poco lentamente,poco,6.1300230000000004,0.6965536122448981,2.356462612244898,1.0165536122448977,1.4165536122448978,1.1365536122448976,1.2634858676485503,1.366553612244898,1.1169589411355885,1.3171375980775402,1.1356077242880798,1.2727370271701222,137.1293028820424,0,1.156,1.3145,1.322,1.302,1.2335,1.3775,120.00000000000011,100.40532889069098,18.648783152491298,146.52692651296206,126.93225540365292,103.0677445963475,53.65173042898963,49.99999999999982,230.00000000000043,400.00000000000034,1.659909,Italian,m,ital1282,11,poko,p,voiceless,o,back,mid,k,voiceless,velar,4.819541312204465,-0.6330397846020768,563.4662171801391,899.0400358422813,2210.607230889165,117.69253181616442
4,it01,it01-004,29/11/2016 15:11:03,ipu_4,Dico pata lentamente,pata,8.82,0.6233560090702941,2.2132880090702933,0.9433560090702944,1.343356009070293,1.0358571257818152,1.1633560090702932,1.2633560090702949,1.0245750904887352,1.245334410027203,1.0369384308405407,1.1852427955840346,148.30436474349384,2,1.079,1.2045,1.21,1.193,1.1345,1.2465,92.50111671152084,81.21908141844081,12.36334035180553,138.78091858155807,127.49888328847804,100.00000000000142,81.97840095690978,79.9999999999983,227.49888328847945,399.9999999999986,1.5899319999999992,Italian,m,ital1282,1,pata,p,voiceless,a,central,low,t,voiceless,coronal,5.031661731445121,-0.4209193653614207,748.8391122892134,1181.2387725184776,2131.131285143911,112.2327182034641
5,it01,it01-005,29/11/2016 15:11:08,ipu_5,Dico boco lentamente,boco,11.52,0.6646712018140573,2.2446262018140573,0.9746712018140578,1.3646712018140583,1.0746712018140574,1.2070043046928092,1.3146712018140576,NA,1.268627542153416,0.9401118196438116,1.2294178264577,289.3060068138884,2,NA,NA,NA,NA,NA,NA,99.99999999999964,NA,NA,NA,132.3331028787518,107.66689712124844,61.62323746060672,50.00000000000071,240.00000000000023,390.00000000000057,1.579955,Italian,m,ital1282,15,boko,b,voiced,o,back,mid,k,voiceless,velar,5.063435351006833,-0.3891457457997092,552.0547216903408,906.7570374145332,2244.535541995075,114.75096695052764
6,it01,it01-006,29/11/2016 15:11:14,ipu_6,Dico podo lentamente,podo,14.334966,0.6468027346938765,2.226802734693877,0.9768027346938766,1.3568027346938774,1.08155406080407,1.206802734693877,1.2768027346938773,1.058182992385575,1.2558905495961312,1.0761324392451894,1.5708041431857231,494.67170394053375,5,1.136,1.2445,1.249,1.236,1.1915,1.2805,104.75132611019332,81.38025769169843,17.949446859614415,148.619742308302,125.2486738898071,70.00000000000028,49.08781490225422,80.00000000000007,195.24867388980735,380.0000000000008,1.58,Italian,m,ital1282,10,podo,p,voiceless,o,back,mid,d,voiced,coronal,5.063291139240506,-0.389289957566036,557.1489263330584,846.5600001071216,2246.116681627527,113.20115938194454
7,it01,it01-007,29/11/2016 15:11:19,ipu_7,Dico boto lentamente,boto,17.214966,0.7404081768707478,2.325397176870748,1.020408176870749,1.410408176870746,1.127390209102597,1.261499264204886,1.3704081768707468,NA,1.33802678134019,0.9835768925761486,1.2740959664163938,290.5190738402452,1,NA,NA,NA,NA,NA,NA,106.98203223184775,NA,NA,NA,134.10905510228943,108.90891266586068,76.52751713530392,39.99999999999915,243.0179677681501,389.99999999999704,1.5849890000000002,Italian,m,ital1282,13,boto,b,voiced,o,back,mid,t,voiceless,coronal,5.047353640940094,-0.4052274558664477,548.0885098944511,880.0569385765075,2401.6203111583313,112.67401033533314
8,it01,it01-008,29/11/2016 15:11:25,ipu_8,Dico paca lentamente,paca,19.704989,0.5020865056689345,2.0870295056689336,0.8320865056689328,1.1920865056689325,0.9218430470579548,1.0404032262063545,1.1320865056689335,0.910457952315749,1.1009204398140715,0.9232490944585884,1.0407978156731044,117.54872121451608,0,0.942,1.0835,NA,1.071,1.0145,1.0145,89.756541389022,78.37144664681617,12.791142142839274,129.9452738906055,118.56017914839968,91.68327946257904,60.517213607717224,59.99999999999872,210.2434586109787,359.99999999999943,1.584942999999999,Italian,m,ital1282,3,paka,p,voiceless,a,central,low,k,voiceless,velar,5.047500130919538,-0.405080965887004,733.3465527894072,1174.667231238796,2130.2410212035343,109.7931624004676
9,it01,it01-009,29/11/2016 15:11:30,ipu_9,Dico bodo lentamente,bodo,22.324989,0.5562815170067985,2.0762355170068005,0.8662815170068008,1.2262815170068002,0.9647533361584132,1.0949751722722318,1.1562815170068,NA,NA,0.8255698574650736,1.1506750322592505,325.1051747941769,5,NA,NA,NA,NA,NA,NA,98.4718191516123,NA,NA,NA,130.22183611381877,61.306344734568086,NA,70.00000000000028,191.52818084838685,359.99999999999943,1.519954000000002,Italian,m,ital1282,14,bodo,b,voiced,o,back,mid,d,voiced,coronal,5.263317179335683,-0.1892639174708588,554.15950773703,887.0024923719936,2431.712078584145,111.54112862749442
10,it01,it01-010,29/11/2016 15:11:35,ipu_10,Dico pucu lentamente,pucu,24.834966,0.5352834603174585,2.1502494603174576,0.8452834603174573,1.275283460317457,0.9825271623326266,1.0816512465386658,1.2052834603174567,0.9392481680599224,1.145875465883531,0.9875396865097884,1.094094396293923,106.55470978413418,1,1.043,1.1245,1.132,1.117,1.0785,1.175,137.24370201516933,93.96470774246524,48.29151844986601,142.40307847874334,99.12408420603924,123.63221377879086,64.22421934486522,70.00000000000028,222.7562979848301,429.9999999999997,1.614965999999999,Italian,m,ital1282,19,puku,p,voiceless,u,back,high,k,voiceless,velar,4.953664659194066,-0.4989164376124755,283.1673354381471,627.918349191049,2356.6006411916005,125.67917842669095
11,it01,it01-011,29/11/2016 15:11:40,ipu_11,Dico paga lentamente,paga,27.595011,0.7295234716553267,2.314467471655327,1.0695234716553266,1.419523471655328,1.1533740117930975,1.2933138953780947,1.3595234716553255,1.1399056317145764,1.3468703256815182,1.1542367119989256,1.6967508074856423,542.5140954867167,5,1.194,1.3395,NA,1.329,1.2705,1.2705,83.85054013777093,70.3821600592498,14.331080284349262,153.40826366351834,139.9398835849972,66.20957627723101,53.5564303034235,60.000000000002274,206.1494598622282,350.0000000000014,1.584944,Italian,m,ital1282,4,paga,p,voiceless,a,central,low,g,voiced,velar,5.0474969462643475,-0.40508415054219427,743.7871300212295,1205.4583629931956,2192.5889563186756,110.93269288968555
12,it01,it01-012,29/11/2016 15:11:46,ipu_12,Dico bada lentamente,bada,30.315011,0.6399089591836713,2.224852959183671,0.9499089591836736,1.3199089591836746,1.0399089591836734,1.179908959183674,1.2599089591836723,NA,1.2512852560255006,0.8935042751377488,1.5895152339323837,696.0109587946347,5,NA,NA,NA,NA,NA,NA,89.99999999999986,NA,NA,NA,140.00000000000057,79.9999999999983,71.37629684182656,60.000000000002274,219.9999999999989,370.000000000001,1.584944,Italian,m,ital1282,6,bada,b,voiced,a,central,low,d,voiced,coronal,5.0474969462643475,-0.40508415054219427,730.8252067817656,1239.8962435815238,2290.209389706205,109.89867528252849
13,it01,it01-013,29/11/2016 15:11:52,ipu_13,Dico bogo lentamente,bogo,33.175011,0.6670744920634917,2.237006492063493,0.977074492063494,1.3570744920634965,1.0770744920634954,1.2144296208499128,1.2870744920634962,1.048774694734398,1.2769808081091585,0.92633704059761,1.6172036524820814,690.8666118844714,5,NA,NA,NA,NA,NA,NA,100.00000000000142,71.70020267090393,-122.43765413678788,165.6549261155149,137.35512878641742,72.64487121358343,62.55118725924547,70.00000000000028,210.00000000000085,380.00000000000256,1.5699320000000014,Italian,m,ital1282,16,bogo,b,voiced,o,back,mid,g,voiced,velar,5.0957621094416785,-0.3568189873648633,555.9111251878468,873.9017827680866,2361.154851429506,112.49437638428556
